OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.01,1587.6,2075.5,2.38,1.3074,861.210165623689,0.41491542128165,0.24894925276899,0.16596616851266
1.6,2.49329,1988.18,1643.4,2150.9,2.411,1.3088,862.132373235646,0.400827383976358,0.246663005523913,0.154164378452445
1.7,2.346626,2168.31,1689.6,2213.7,2.4398,1.3102,863.054580847604,0.389867260195755,0.245471978641771,0.144395281553983
1.8,2.216257,2336.33,1727.5,2265.6,2.4659,1.3115,863.910916487279,0.381313877179014,0.245130349615081,0.136183527563934
1.9,2.099612,2490.9,1757.9,2307.6,2.489,1.3127,864.701380154671,0.37471967849522,0.245505996255489,0.129213682239731
2,1.994632,2630.93,1781.7,2340.7,2.51,1.3137,865.360099877498,0.369714162219648,0.246476108146432,0.123238054073216
2.1,1.899649,2755.92,1799.6,2365.9,2.5281,1.3146,865.952947628042,0.366036743068875,0.24796037433698,0.118076368731895
2.2,1.813302,2865.95,1812.4,2384.2,2.5438,1.3155,866.545795378586,0.363451623718134,0.249872991306217,0.113578632411917
2.3,1.734462,2961.54,1820.8,2396.5,2.5574,1.3162,867.006899184564,0.361774891710648,0.252146136646815,0.109628755063833
2.4,1.662193,3043.42,1825.5,2403.8,2.569,1.3168,867.40213101826,0.360843452657763,0.25471302540548,0.106130427252283
2.5,1.595705,3112.49,1827,2406.7,2.579,1.3173,867.731490879674,0.360547193665433,0.257533709761024,0.10301348390441
2.6,1.534332,3169.82,1825.9,2406.1,2.5875,1.3178,868.060850741087,0.360764402665396,0.260552068591675,0.100212334073721
2.7,1.477505,3216.58,1822.6,2402.4,2.5946,1.3181,868.258466657935,0.361417602779956,0.263737169596184,0.0976804331837717
2.8,1.424737,3254.08,1817.6,2396.4,2.6006,1.3185,868.521954547066,0.362411819336899,0.267040287932452,0.095371531404447
2.9,1.375608,3283.68,1811.2,2388.5,2.6057,1.3187,868.653698491631,0.363692426472365,0.270437958146117,0.0932544683262473
3,1.329754,3306.63,1803.9,2379.2,2.6099,1.3189,868.785442436197,0.365164212443454,0.273873159332591,0.0912910531108635
3.1,1.286859,3324.11,1795.8,2368.9,2.6134,1.3191,868.917186380762,0.366811294591128,0.277345125178658,0.0894661694124702
3.2,1.246645,3337.1,1787.3,2357.9,2.6164,1.3193,869.048930325327,0.36855576726165,0.280804394104114,0.0877513731575357
3.3,1.208868,3346.42,1778.4,2346.5,2.6189,1.3194,869.11480229761,0.370400204018639,0.284260621688723,0.086139582329916
3.4,1.173313,3352.76,1769.4,2334.8,2.621,1.3195,869.180674269893,0.372284233540605,0.287674180463195,0.0846100530774103
3.5,1.13979,3356.67,1760.3,2322.9,2.6228,1.3196,869.246546242175,0.374208784199709,0.291051276599773,0.0831575075999352
3.6,1.108129,3358.57,1751.2,2311,2.6243,1.3197,869.312418214458,0.376153336470276,0.294380872020216,0.0817724644500599
3.7,1.078179,3358.83,1742.1,2299.2,2.6256,1.3198,869.378290186741,0.378118203792404,0.297667522134446,0.0804506816579583
3.8,1.049806,3357.73,1733.1,2287.4,2.6267,1.3198,869.378290186741,0.380081774177339,0.300898071223727,0.0791837029536124
3.9,1.022888,3355.49,1724.2,2275.8,2.6276,1.3199,869.444162159023,0.382043685666829,0.30407558655115,0.0779680991156794
4,0.997316,3352.3,1715.5,2264.3,2.6283,1.3199,869.444162159023,0.383981184976244,0.307184947980995,0.0767962369952488
