OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.04,1587.6,2097,2.49,1.3209,937.033872795839,0.446831992149469,0.268099195289681,0.178732796859788
1.6,2.49329,1988.25,1643.4,2173.5,2.5237,1.3225,938.168897549017,0.431660259666847,0.265637082871906,0.166023176794941
1.7,2.346626,2168.5,1689.7,2237.3,2.5551,1.3241,939.303922302195,0.419832201418297,0.264338793485595,0.155493407932703
1.8,2.216257,2336.78,1727.6,2290.1,2.5837,1.3255,940.297068961226,0.410621944163288,0.263971249819257,0.146650694344032
1.9,2.099612,2491.78,1758.2,2332.9,2.6093,1.3269,941.290215620258,0.403475412772436,0.264345960092286,0.13912945268015
2,1.994632,2632.43,1782.1,2366.7,2.632,1.328,942.070545138068,0.398064345848435,0.265376230565624,0.132688115282812
2.1,1.899649,2758.18,1800.2,2392.6,2.6519,1.3291,942.850874655878,0.394062032405564,0.266945247758608,0.127116784646956
2.2,1.813302,2869.08,1813.2,2411.5,2.6692,1.33,943.489326079541,0.391236747593479,0.268975263970517,0.122261483622962
2.3,1.734462,2965.57,1821.8,2424.4,2.6842,1.3308,944.05683845613,0.389389873057688,0.271392941828086,0.117996931229603
2.4,1.662193,3048.37,1826.7,2432.1,2.6971,1.3315,944.553411785645,0.388345360889307,0.274126137098334,0.114219223790973
2.5,1.595705,3118.33,1828.3,2435.5,2.7081,1.3321,944.979046068087,0.388005508251653,0.277146791608323,0.110858716643329
2.6,1.534332,3176.48,1827.4,2435.1,2.7175,1.3326,945.333741303456,0.388196602132263,0.280364212651079,0.107832389481184
2.7,1.477505,3223.97,1824.2,2431.6,2.7254,1.333,945.61749749175,0.388877574134687,0.283775527071258,0.105102047063429
2.8,1.424737,3262.11,1819.3,2425.7,2.732,1.3333,945.830314632971,0.389924955057713,0.287313124779367,0.102611830278345
2.9,1.375608,3292.23,1813,2417.9,2.7376,1.3336,946.043131774192,0.391279906638994,0.290951725449509,0.100328181189486
3,1.329754,3315.6,1805.7,2408.6,2.7423,1.3339,946.255948915413,0.392861754852133,0.2946463161391,0.0982154387130333
3.1,1.286859,3333.41,1797.7,2398.3,2.7462,1.3341,946.39782700956,0.394610041017131,0.298363689549538,0.096246351467593
3.2,1.246645,3346.65,1789.2,2387.3,2.7495,1.3343,946.539705103708,0.396484725428402,0.302083600326401,0.0944011251020005
3.3,1.208868,3356.16,1780.4,2375.7,2.7522,1.3344,946.610644150781,0.398444434248763,0.305782937911841,0.0926614963369215
3.4,1.173313,3362.63,1771.3,2363.9,2.7546,1.3345,946.681583197855,0.400491430438941,0.309470650793727,0.091020779645214
3.5,1.13979,3366.62,1762.2,2352,2.7565,1.3347,946.823461292002,0.402559568003914,0.313101886225266,0.0894576817786475
3.6,1.108129,3368.58,1753.1,2339.9,2.7582,1.3347,946.823461292002,0.404649176165933,0.316681963955947,0.0879672122099854
3.7,1.078179,3368.87,1744,2327.9,2.7596,1.3348,946.894400339076,0.406760591018633,0.320215784418924,0.0865448065997093
3.8,1.049806,3367.77,1735,2316,2.7608,1.3349,946.965339386149,0.408870588320747,0.323689215753925,0.0851813725668223
3.9,1.022888,3365.51,1726.1,2304.3,2.7618,1.3349,946.965339386149,0.410978779176465,0.32710555893637,0.083873220240095
4,0.997316,3362.29,1717.4,2292.7,2.7626,1.335,947.036278433223,0.413060714298647,0.330448571438918,0.0826121428597295
