OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.06,1587.6,2116.5,2.5978,1.3332,1379.23242272943,0.651629988551309,0.390977993130785,0.260651995420523
1.6,2.49329,1988.31,1643.4,2193.9,2.6342,1.335,1381.09457271512,0.629504545347485,0.38738741252153,0.242117132825956
1.7,2.346626,2168.68,1689.7,2258.7,2.6682,1.3367,1382.85326992382,0.612255293735017,0.385494073833159,0.226761219901858
1.8,2.216257,2337.18,1727.8,2312.3,2.6992,1.3383,1384.50851435554,0.598754352253766,0.384913512163136,0.213840840090631
1.9,2.099612,2492.58,1758.4,2355.8,2.7271,1.3397,1385.95685323329,0.588334718962726,0.385460677941097,0.20287404102163
2,1.994632,2633.79,1782.5,2390.4,2.7518,1.341,1387.30173933406,0.580380235525418,0.386920157016945,0.193460078508473
2.1,1.899649,2760.24,1800.8,2416.9,2.7735,1.3422,1388.54317265785,0.574482324424732,0.389165445578044,0.185316878846688
2.2,1.813302,2871.93,1813.9,2436.4,2.7924,1.3432,1389.57770042767,0.570333408580439,0.392104218399052,0.178229190181387
2.3,1.734462,2969.27,1822.7,2449.8,2.8088,1.344,1390.40532264353,0.567579837507027,0.395585947353382,0.171993890153645
2.4,1.662193,3052.93,1827.7,2458,2.8229,1.3448,1391.23294485939,0.566027121422584,0.399548556298295,0.16647856512429
2.5,1.595705,3123.72,1829.6,2461.6,2.835,1.3455,1391.95711429827,0.565439314508121,0.403885224648658,0.161554089859463
2.6,1.534332,3182.64,1828.7,2461.5,2.8453,1.346,1392.47437818318,0.565717597103985,0.408573820130656,0.157143776973329
2.7,1.477505,3230.83,1825.7,2458.2,2.854,1.3465,1392.99164206809,0.566647187283813,0.413499298828729,0.153147888455085
2.8,1.424737,3269.56,1820.8,2452.5,2.8613,1.3469,1393.40545317602,0.568172105571209,0.418653130420891,0.149518975150318
2.9,1.375608,3300.17,1814.6,2444.7,2.8674,1.3472,1393.71581150697,0.570113396794918,0.423930474539811,0.146182922255107
3,1.329754,3323.95,1807.4,2435.5,2.8726,1.3475,1394.02616983792,0.572384513568694,0.429288385176521,0.143096128392174
3.1,1.286859,3342.07,1799.5,2425.1,2.8769,1.3477,1394.23307539188,0.574897343608812,0.43467847931398,0.140218864294832
3.2,1.246645,3355.54,1791,2414.1,2.8805,1.3479,1394.43998094585,0.577625778796235,0.440095831463798,0.137529947332437
3.3,1.208868,3365.23,1782.1,2402.5,2.8835,1.3481,1394.64688649981,0.580510504362302,0.445508061487348,0.135002442874954
3.4,1.173313,3371.83,1773.1,2390.6,2.8861,1.3482,1394.75033927679,0.583457091999356,0.450853207454048,0.132603884545308
3.5,1.13979,3375.91,1764,2378.5,2.8882,1.3483,1394.85379205378,0.586466989696178,0.456140991985916,0.130325997710262
3.6,1.108129,3377.92,1754.9,2366.4,2.89,1.3484,1394.95724483076,0.589508102925556,0.461354167506957,0.128153935418599
3.7,1.078179,3378.23,1745.8,2354.2,2.8916,1.3485,1395.06069760774,0.592580919821318,0.466499873050825,0.126081046770493
3.8,1.049806,3377.14,1736.8,2342.2,2.8929,1.3486,1395.16415038472,0.595651640847569,0.471557549004325,0.124094091843243
3.9,1.022888,3374.87,1727.9,2330.3,2.8939,1.3486,1395.16415038472,0.598719700112308,0.476532006211837,0.122187693900471
4,0.997316,3371.62,1719.1,2318.6,2.8948,1.3487,1395.26760316171,0.60178452086793,0.481427616694344,0.120356904173586
