OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1796.85,1587.5,1917.5,1.788,1.2078,489.601034603166,0.255348650883778,0.153209190530267,0.102139460353511
1.6,2.49329,1987.69,1643.2,1985.3,1.8053,1.2082,489.763180996477,0.246693027798198,0.15181109402966,0.0948819337685375
1.7,2.346626,2166.88,1689.1,2041.3,1.8211,1.2085,489.884790791461,0.239989333537386,0.151104395190206,0.0888849383471799
1.8,2.216257,2332.98,1726.4,2087,1.8352,1.2089,490.046937184772,0.234804207181417,0.150945561759482,0.0838586454219346
1.9,2.099612,2484.43,1756,2123.4,1.8476,1.2092,490.168546979755,0.230846231935079,0.151244082991948,0.0796021489431306
2,1.994632,2620.15,1778.7,2151.4,1.8585,1.2095,490.290156774739,0.227900142395007,0.151933428263338,0.0759667141316689
2.1,1.899649,2739.89,1795.3,2172,1.8678,1.2098,490.411766569722,0.225792894378654,0.152956476837153,0.0728364175415014
2.2,1.813302,2844.12,1806.9,2186.3,1.8759,1.21,490.492839766378,0.224343341235264,0.154236047099244,0.0701072941360199
2.3,1.734462,2933.68,1814,2195.4,1.8828,1.2102,490.573912963033,0.223465260902976,0.155748515174801,0.0677167457281745
2.4,1.662193,3009.6,1817.5,2200,1.8887,1.2104,490.654986159689,0.223034928901237,0.157436420400873,0.0655985085003638
2.5,1.595705,3073.02,1818,2200.8,1.8937,1.2106,490.736059356345,0.222973588161715,0.159266848686939,0.0637067394747758
2.6,1.534332,3125.17,1815.9,2198.6,1.898,1.2107,490.776595954672,0.223231446267965,0.16122271119353,0.0620087350744348
2.7,1.477505,3167.37,1811.8,2193.9,1.9015,1.2109,490.857669151328,0.22373660629098,0.163267253239364,0.0604693530516163
2.8,1.424737,3201.01,1806.2,2187.2,1.9045,1.2109,490.857669151328,0.22443028639021,0.165369684708576,0.0590606016816344
2.9,1.375608,3227.42,1799.4,2179.1,1.907,1.211,490.898205749656,0.225278416848949,0.167514720221013,0.0577636966279355
3,1.329754,3247.83,1791.7,2169.9,1.9091,1.2111,490.938742347984,0.226246572125913,0.169684929094435,0.0565616430314782
3.1,1.286859,3263.33,1783.4,2159.9,1.9109,1.2112,490.979278946311,0.227299530827632,0.171860620869673,0.0554389099579589
3.2,1.246645,3274.82,1774.7,2149.5,1.9124,1.2112,490.979278946311,0.228413806997238,0.174029567235991,0.0543842397612471
3.3,1.208868,3283.04,1765.7,2138.7,1.9137,1.2113,491.019815544639,0.229578061549526,0.176187814677543,0.0533902468719828
3.4,1.173313,3288.6,1756.6,2127.8,1.9148,1.2113,491.019815544639,0.230767382032334,0.178320249752258,0.0524471322800759
3.5,1.13979,3291.98,1747.5,2116.8,1.9157,1.2113,491.019815544639,0.231969089143347,0.180420402667047,0.0515486864762992
3.6,1.108129,3293.57,1738.4,2105.8,1.9165,1.2113,491.019815544639,0.233183377403358,0.182491338837411,0.0506920385659475
3.7,1.078179,3293.69,1729.4,2094.9,1.9172,1.2114,491.060352142967,0.234396890989938,0.184525212055908,0.0498716789340293
3.8,1.049806,3292.58,1720.4,2084.1,1.9177,1.2114,491.060352142967,0.235623101184607,0.186534955104481,0.0490881460801265
3.9,1.022888,3290.44,1711.6,2073.5,1.9182,1.2114,491.060352142967,0.236834531010749,0.188500953253453,0.0483335777572957
4,0.997316,3287.45,1703,2063,1.9187,1.2114,491.060352142967,0.238030524532001,0.190424419625601,0.0476061049064002
